ln_kingdom;ln_phylum;ln_class;ln_order;ln_family;ln_genus;ln_species;HNSm-1;HNSm-2;HNSm-3;HNS+s-1;HNS+s-2;HNS+s-3;BF-1;BF-2;BF-3;BF+s-1;BF+s-2;BF+s-3;Probio+s-1;Probio+s-2;Probio+s-3;Probio+BF-1;Probio+BF-2;Probio+BF-3;soil-1;soil-2;soil-3;HNS+Bf bassin;HNS bassin;BF;HNS;RAS;Soil;WS
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;Phenylobacterium conjunctum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;37;0;3;0;0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas oligophenolica;0;1;0;3;10;2;12;1;0;5;1;0;0;0;0;0;3;1;2;0;0;0;0;0;1;0;1;0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;Paraburkholderia tropica;3;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;7;0;12;0;8;9;0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azoarcus;Azoarcus indigens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;4
Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;Sinobacteraceae;Povalibacter;Povalibacter uvarum;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;6;0;4;5;0;0;0;17;8
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas japonica;0;6;0;0;0;0;1;0;0;0;0;1;0;1;0;0;12;12;1;5;0;0;0;0;0;0;4;0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas marginalis;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;1;35;0;0;0;0;0;0;0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium insubricum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;28;0;0
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Phytohabitans;Phytohabitans flavus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;1;0;0;0;0;0;34;0
Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Parafilimonas;Parafilimonas terrae;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;2;0;3;4;0;5;0;25;0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified Burkholderiales;Rhizobacter;Rhizobacter bergeniae;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;3;0;2;1;0;30;0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium oxydans;2;3;0;0;0;1;4;0;0;5;0;1;2;0;0;9;10;5;0;0;2;1;0;0;0;0;0;0
Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavisolibacter;Flavisolibacter ginsengiterrae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;42;0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Caulobacter fusiformis;2;1;1;0;1;1;1;1;1;0;0;0;1;0;0;6;0;0;8;4;0;0;3;1;3;0;2;8
